name,address,date,score
WAFFLE MANIA - FD-SRV.,6712 WINCHESTER RD  Memphis. TN 38115,August 24. 2020,99
Baskin Robbins,4758 Navy Rd.  Millington. TN 38053,August 24. 2020,96
SAM'S MAIN ST EATERY,7 N MAIN ST  Memphis. TN 38103,August 24. 2020,95
Donut Hutt,1016 W. Poplar. Suite 111  Collierville. TN 38017,August 24. 2020,98
Dyers Hamburgers,205 Beale St.  Memphis. TN 38103,August 24. 2020,97
SUBWAY - FD-SRV,7956 AUSTIN PEAY HWY  Millington. TN 38053,August 24. 2020,96
Orgill Park Golf Course,9080 Bethuel Rd.  Millington. TN 38053,August 24. 2020,99
Chow Time/King Manor,4207 Hacks Cross Rd.  Memphis. TN 38125,August 23. 2020,98
Sonic,4130 Kirby Pkwy  Memphis. TN 38115,August 23. 2020,99
Hardee's of Millington,8523 US Highway 51 North  Millington. TN 38053,August 23. 2020,95
Sonic,9696 Hwy 64  Lakeland. TN 38002,August 23. 2020,98
KOBE JAPAN EXPRESS,7020 E SHELBY DR #104  Memphis. TN 38125,August 23. 2020,99
Folk's Folly,551 S. Mendenhall  Memphis. TN 38117,August 23. 2020,96
FOREST HILL GRILL-BAR,9102 Poplar Pike  Germantown. TN 38138,August 20. 2020,100
Starbuck's,4545 Poplar Ave.  Memphis. TN 38117,August 20. 2020,97
Hooter's,250 Peabody Place.  Memphis. TN 38103,August 20. 2020,91
CHAR - BAR,431 S HIGHLAND  Memphis. TN 38111,August 20. 2020,100
MIRIAM CHILD DEVELOPMENT,6050 SUMMER AVE  Memphis. TN 38134,August 20. 2020,99
FOREST HILL GRILL-KITCHEN,9102 Poplar Pike  Germantown. TN 38138,August 20. 2020,99
CHAR - FD-SRV.,431 S HIGHLAND STREET  Memphis. TN 38111,August 20. 2020,99
THAI COTTAGE RESTAURANT,4085 SUMMER AVENUE  Memphis. TN 38122,August 20. 2020,92
Ubee's Bar,521 S. Highland. STE 103  Memphis. TN 38111,August 20. 2020,100
M.I.F.A.EAST SENIOR CENTER,4223 Macon Rd.  Memphis. TN 38108,August 20. 2020,100
Chickasaw Men's Grill,3395 Galloway Ave.  Memphis. TN 38122,August 20. 2020,98
Chickasaw Country Club,3395 Galloway Ave.  Memphis. TN 38122,August 20. 2020,95
Hooter's (Bar),250 Peabody Place  Memphis. TN 38103,August 20. 2020,98
PIZZA ITALIA,175 PEABODY PLACE  Memphis. TN 38103,August 20. 2020,57
Ubee's Restaurant,521 S. Highland. STE 103  Memphis. TN 38111,August 20. 2020,96
Mason Temple Cogic Concession,938 Mason. FL BASEMENT  Memphis. TN 38126,August 20. 2020,100
La Petite Academy Food Service,4125 New Allen Rd.  Memphis. TN 38127,August 20. 2020,100
Church Of God In Christ Mason Temple,938 Mason. BSMT  Memphis. TN 38126,August 20. 2020,99
TOPS BBQ,2748 LAMAR AVE  Memphis. TN 38114,August 20. 2020,99
Westin Hotel Lobby Bar,170 Lt. George W. Lee  Memphis. TN 38103,August 19. 2020,99
Morries Tavern - Facility,5147 Easley  Millington. TN 38053,August 19. 2020,97
Starbucks #13547,5679 Poplar Ave.. 103  Memphis. TN 38119,August 19. 2020,97
THE CHOO - FD-SRV.,3045 SOUTHERN AVE.  Memphis. TN 38111,August 19. 2020,98
Goodwill Homes Senior Center,163 Raines Rd.  Memphis. TN 38109,August 19. 2020,98
Coletta's,1063 S. Parkway E.  Memphis. TN 38106,August 19. 2020,92
JIMMY JOHN'S,5181 POPLAR AVE  Memphis. TN 38117,August 19. 2020,96
Soul Fish Cafe',4720 Poplar Ave.  Memphis. TN 38117,August 19. 2020,95
